variant,step,loss
learned,50,0.1160
learned,100,0.0874
learned,150,0.0832
learned,200,0.0777
learned,250,0.0675
learned,300,0.0678
learned,350,0.0631
learned,400,0.0468
learned,450,0.0791
learned,500,0.0617
learned,550,0.0386
learned,600,0.0628
learned,650,0.0384
learned,700,0.0602
learned,750,0.0517
learned,800,0.0454
learned,850,0.0469
learned,900,0.0438
learned,950,0.0589
learned,1000,0.0484
learned,1050,0.0337
learned,1100,0.0488
learned,1150,0.0664
learned,1200,0.0469
rope,50,0.1176
rope,100,0.0858
rope,150,0.0856
rope,200,0.0799
rope,250,0.0685
rope,300,0.0682
rope,350,0.0633
rope,400,0.0474
rope,450,0.0799
rope,500,0.0606
rope,550,0.0364
rope,600,0.0596
rope,650,0.0358
rope,700,0.0519
rope,750,0.0474
rope,800,0.0396
rope,850,0.0398
rope,900,0.0393
rope,950,0.0524
rope,1000,0.0411
rope,1050,0.0294
rope,1100,0.0431
rope,1150,0.0574
rope,1200,0.0393
