step,loss,target_prob
0,4.6045,0.0100
1,4.1974,0.0150
2,3.9516,0.0192
3,3.6546,0.0259
4,3.3347,0.0356
5,3.1612,0.0424
6,3.0489,0.0474
7,2.8916,0.0555
8,2.5500,0.0781
9,2.4707,0.0845
10,2.3844,0.0921
11,2.3270,0.0976
12,2.2623,0.1041
13,2.1603,0.1153
14,1.9604,0.1408
15,1.8118,0.1634
16,1.7369,0.1761
17,1.6918,0.1842
18,1.5904,0.2038
19,1.5904,0.2038
20,1.4464,0.2354
21,1.4458,0.2355
22,1.3976,0.2472
23,1.3976,0.2472
24,1.3766,0.2524
25,1.3513,0.2589
26,1.3513,0.2589
27,1.3513,0.2589
28,1.3513,0.2589
29,1.2926,0.2745
30,1.2869,0.2761
31,1.2869,0.2761
32,1.2869,0.2761
33,1.1026,0.3320
34,1.1026,0.3320
35,1.1026,0.3320
36,1.1026,0.3320
37,1.1026,0.3320
38,1.0648,0.3448
39,1.0648,0.3448
40,1.0298,0.3571
41,0.8346,0.4340
42,0.7433,0.4756
43,0.7289,0.4825
44,0.6876,0.5028
45,0.6754,0.5089
46,0.6588,0.5175
47,0.6053,0.5459
48,0.5274,0.5902
49,0.5121,0.5993
50,0.4542,0.6350
51,0.4542,0.6350
52,0.4213,0.6562
